,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,593.1284
16,671.06146
17,668.17633
18,647.0376
19,639.05896
20,634.61346
21,498.83575
22,495.697
23,492.1957
24,486.87103
25,243.80214
26,240.39973
27,483.99423
28,476.56134
29,245.02222
30,247.09038
31,242.43774
32,227.48218
33,249.05165
34,249.6247
35,481.02698
36,479.7018
37,479.62585
38,484.4897
39,497.89493
40,514.21735
41,520.89575
42,525.17804
43,495.456
44,306.2735
45,315.96008
46,324.2066
47,326.22522
48,323.28775
49,316.6747
50,160.3781
51,153.56046
52,147.32352
53,272.4017
54,260.03378
55,248.14935
56,245.62192
57,239.69675
58,239.69458
59,242.99934
60,244.79301
61,244.9496
62,245.23036
63,245.53017
64,245.8966
65,245.09068
66,245.08629
67,245.14291
68,245.60043
69,244.637
70,241.67682
71,245.46431
72,246.65825
73,244.85556
74,244.49419
75,245.43747
76,247.42494
77,244.23404
78,513.1523
79,527.00555
80,530.6211
81,530.5972
82,537.9942
83,563.36755
84,579.29047
85,528.8977
86,527.79205
87,527.5174
88,524.9019
89,165.10274
90,162.8245
91,161.20457
92,163.23116
93,164.38576
94,161.47925
95,153.66595
96,150.09875
97,167.18971
98,344.3579
99,343.99466
100,344.42337
101,346.6485
102,174.913
103,177.89612
104,180.1634
105,181.3576
106,181.82573
107,180.90945
108,181.40773
109,181.52551
110,0.0
111,0.0
112,0.0
113,182.2298
114,182.8245
115,181.359
116,182.37462
117,181.55962
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,720.17566
126,739.4057
127,754.4525
128,636.6369
129,638.34814
130,255.4563
131,257.92847
132,256.3107
133,251.92813
134,255.3395
135,257.60464
136,253.36041
137,252.56523
138,256.3534
139,407.4331
140,532.4625
141,411.20398
142,420.6386
143,432.3755
144,453.12668
145,304.9289
146,304.1166
147,300.41977
148,294.10025
149,296.7551
150,313.6148
151,319.88162
152,302.76456
153,301.77023
154,319.8972
155,0.0
156,158.08006
157,292.18774
158,585.2494
159,1733.5026
160,731.44025
161,739.1586
162,741.6809
163,290.95697
164,288.50607
165,272.86526
166,287.52634
167,290.32022
168,290.4014
169,429.82462
170,426.87158
171,419.84952
172,415.5956
173,415.4865
174,413.96353
175,414.39023
176,276.38904
177,277.8936
178,290.93787
179,305.74313
180,318.8717
181,333.8171
182,346.12772
183,356.63165
184,364.3507
185,357.17014
186,364.09647
187,372.10596
188,370.6555
189,378.1473
190,388.11865
191,392.26993
192,396.6105
193,392.72952
194,391.38943
195,399.97498
196,397.36823
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,697.543
216,1693.2281
217,653.5939
218,781.06287
219,782.492
220,787.70306
221,805.38043
222,275.97205
223,701.8319
224,699.55145
225,698.69824
226,704.16406
227,146.9373
228,148.70642
229,148.38583
230,294.79935
231,292.07788
232,532.3975
233,548.07513
234,0.0
235,513.47833
236,516.464
237,518.2136
238,515.7922
239,513.5681
240,517.11365
241,517.88275
242,516.0415
243,514.8423
244,514.0609
245,448.92328
246,541.6975
247,537.257
248,531.58203
249,530.06415
250,530.02325
251,529.8357
252,531.9594
253,541.0445
254,529.57166
255,529.78937
256,528.10706
257,527.51306
258,528.13275
259,276.3529
260,265.81482
261,257.4043
262,251.016
263,252.40997
264,253.30122
265,252.78676
266,242.90724
267,237.1597
268,250.70668
269,250.57657
270,254.69804
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,249.70715
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,1661.5688
328,1651.3408
329,1648.3136
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,601.17633
345,713.35754
346,704.9242
347,704.3256
348,722.01843
349,738.62006
350,650.14246
351,663.2554
352,179.10687
353,185.62787
354,193.92992
355,199.07658
356,196.08423
357,190.13416
358,192.9809
359,194.44882
360,170.93372
361,183.45044
362,190.06682
363,184.11629
364,0.0
365,184.44986
366,0.0
367,0.0
368,807.53796
369,521.60425
370,508.72104
371,499.155
372,496.05667
373,494.90472
374,495.00522
375,495.57294
376,496.47403
377,498.4572
378,500.79468
379,504.63794
380,508.31332
381,510.1165
382,513.10443
383,518.37256
384,388.20538
385,516.0967
386,512.44055
387,516.363
388,517.82086
389,510.69424
390,511.93488
391,515.3594
392,516.4609
393,515.98615
394,515.9453
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,689.2478
407,677.559
408,675.8414
409,679.2609
410,628.2018
411,621.26044
412,611.51764
413,702.82776
414,696.64307
415,699.65
416,701.0229
417,694.62274
418,696.087
419,572.06635
420,0.0
421,0.0
422,701.58246
423,702.539
424,697.346
425,0.0
426,269.72028
427,261.787
428,256.74252
429,251.96883
430,249.94817
431,248.35408
432,623.39746
433,625.4284
434,628.5494
435,1641.6127
436,497.3362
437,493.64163
438,250.16444
439,252.17238
440,252.25073
441,251.67677
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,261.0128
456,251.35744
457,247.49638
458,245.85909
459,243.03358
460,242.152
461,242.05553
462,247.00824
463,244.68842
464,247.59145
465,255.24132
466,248.22177
467,238.86731
468,236.95332
469,247.56178
470,246.50273
471,0.0
472,363.32086
473,366.19418
474,0.0
475,0.0
476,240.29657
477,0.0
478,665.9558
479,633.6974
480,738.4169
481,730.05115
482,721.50366
483,717.9609
484,594.3639
485,1678.7996
486,1679.0433
487,472.54398
488,470.8336
489,470.10587
490,471.21387
491,472.30682
492,243.24521
493,356.27667
494,513.11145
495,512.76245
496,505.73712
497,621.22015
498,620.6625
499,618.5021
500,615.3033
501,611.6487
502,606.689
503,606.32025
504,609.9288
505,614.9643
506,247.74193
507,505.88403
508,646.31384
509,249.78938
510,248.75214
511,247.82082
512,0.0
513,247.65927
